id	family	group	language	idiom	type	genlang_point	map	feature	pred_infl	spatial	value1	value1_name	value2	value2_name	value	value_as_in_source	source	page	comment	contributor	form	example_as_in_source	example	gloss	translation_as_in_source	translation	example_source	example_page	example_comment	date
1	East Caucasian	Lezgic	Agul	Standard Agul	language	yes	yes	standard of comparison	no	spatial	elative	Spatial vs. dedicated markers	super	Localization markers	superelative	elative -l	magometov1970	84		Chiara Naccarato	-l-as		zun bic'if e dada-l-as	I small cop father-sup-el	я меньше отца	I'm smaller than my father	magometov1970	84		35.40.00
2	East Caucasian	Andic	Northern Akhvakh	Northern Akhvakh	language	yes	yes	standard of comparison	no	spatial	elative	Spatial vs. dedicated markers	super	Localization markers	superelative	translative	magomedbekova1967	67		Chiara Naccarato	-g-une		jacːo-g-une wacːi šoda gudi	sister.obl-sup-trans brother good cop.m	брат лучше сестры	the brother is better than the sister	magomedbekova1967	67		35.40.00
3	East Caucasian	Andic	Upper Andi	Andi	village	yes	yes	standard of comparison	no	spatial	essive/lative	Spatial vs. dedicated markers	cont	Localization markers	contessive	essive II	cercvadze1965	344		Chiara Naccarato	-č'u		hono-r haq'ːu du-r haq'ːu-č'u r-eč'uχa	dem-inan2 house you.sg-inan2 house.obl-cont inan2-big	этот дом больше твоего дома	this house is bigger than your house	cercvadze1965	344		35.40.00
4	East Caucasian	Lezgic	Archi	Archib	village	yes	yes	standard of comparison	no	dedicated	dedicated	Spatial vs. dedicated markers	no_localization	Localization markers	comparative		kibrik1977	153	residual spatial usages (Daniel & Ganenkov 2009: 673-674)	Chiara Naccarato	-χur		dogi niIši-χur t'i	donkey horse.obl?-cmpr small	осел меньше лошади	the donkey is smaller than the horse	kibrik1977	153		35.40.00
5	East Caucasian	Lezgic	Archi	Archib	village	no	no	standard of comparison	no	spatial	elative	Spatial vs. dedicated markers	super	Localization markers	superelative	elative III	mikailov1967	60		Chiara Naccarato	-tː-iš		ƛurc'em ƛʷati-tːu-b i dogi-li-tː-iš	mule strong-attr-inan1.sg cop donkey-obl?-sup-el	мул сильнее осла	the mule is stronger than the donkey	mikailov1967	60		35.40.00
6	Indo-European	Armenic	Eastern Armenian	Eastern Armenian	language	yes	yes	standard of comparison	yes	spatial	elative	Spatial vs. dedicated markers	no_localization	Localization markers	ablative		dum-tragut2009	532		Chiara Naccarato	-ic'		Ararat-ě Aragac'-ic' (aveli) barjr ē	Ararat-det Aragac-abl (cmpr) high cop	Ararat is higher than Aragac	Ararat is higher than Aragac	dum-tragut2009	532		35.40.00
7	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	standard of comparison	no	spatial	elative	Spatial vs. dedicated markers	super	Localization markers	superelative	superablative	forkerdraft2020	NA (17)		Chiara Naccarato	-da-sa		di-da-sa ɬik’-a-w qazaq du-je=gi šːʷ-ela-r=in	I.obl-sup-el good-adjz-m worker you.sg.obl-dat=add get-fut-neg=emph	you will also not get a better farm worker than me	you will also not get a better farm worker than me	forkerdraft2020	NA (17)	example from bokarev1949syntax	35.40.00
8	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	standard of comparison	no	spatial	elative	Spatial vs. dedicated markers	no_localization	Localization markers	ablative		shiralievsevortyan1971	47		Chiara Naccarato	-dan (-dən)		Bakı Kirovabad-dan böyük-dür	Baku Kirovabad-abl big-cop.3sg	Баку больше Кировабада	Baku is bigger than Kirovabad	sirəliyevsevortyan1971	47		35.40.00
9	East Caucasian	Andic	Bagvalal	Kvanada	village	no	no	standard of comparison	no	spatial	elative	Spatial vs. dedicated markers	super	Localization markers	superelative		sosenskaja2001	409		Chiara Naccarato	-la-sː		anwar ʕisa-la-sː kuwata-w ekʷ'a	Anwar Isa.obl-sup-el strong-m cop	Анвар сильнее Исы	Anwar is stronger than Isa	sosenskaja2001	409		35.40.00
10	East Caucasian	Andic	Bagvalal	Kvanada	village	yes	yes	standard of comparison	no	spatial	essive/lative	Spatial vs. dedicated markers	cont	Localization markers	contessive		sosenskaja2001	409		Chiara Naccarato	-č'		anwar ʕisa-č' kuwata-w ekʷ'a	Anwar Isa.obl-cont strong-m cop	Анвар сильнее Исы	Anwar is stronger than Isa	sosenskaja2001	409		35.40.00
